year,estimate_type,price_type,sector,metric,value,uom
2015-16,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,132719.96254003045,Crore Rupees
2015-16,Final Estimate,At Current Prices,Livestock,GVA,582409.6696577807,Crore Rupees
2015-16,Final Estimate,At Current Prices,Crops,GVA,1327991.758238095,Crore Rupees
2015-16,Final Estimate,At Current Prices,Forestry & Logging,GVA,184411.4665318195,Crore Rupees
2016-17,Final Estimate,At Current Prices,Livestock,GVA,672611.0,Crore Rupees
2016-17,Final Estimate,At Current Prices,Crops,GVA,1486044.0,Crore Rupees
2016-17,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,154643.0,Crore Rupees
2016-17,Final Estimate,At Current Prices,Forestry & Logging,GVA,205364.0,Crore Rupees
2017-18,Final Estimate,At Current Prices,Crops,GVA,1633264.1891027964,Crore Rupees
2017-18,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,193275.0434847152,Crore Rupees
2017-18,Final Estimate,At Current Prices,Forestry & Logging,GVA,217603.3615499352,Crore Rupees
2017-18,Final Estimate,At Current Prices,Livestock,GVA,785683.25722235,Crore Rupees
2018-19,Final Estimate,At Current Prices,Forestry & Logging,GVA,255052.95960013973,Crore Rupees
2018-19,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,212086.65348789853,Crore Rupees
2018-19,Final Estimate,At Current Prices,Crops,GVA,1680776.549331724,Crore Rupees
2018-19,Final Estimate,At Current Prices,Livestock,GVA,882008.8835566936,Crore Rupees
2019-20,Final Estimate,At Current Prices,Crops,GVA,1885276.2731143069,Crore Rupees
2019-20,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,235550.3768897203,Crore Rupees
2019-20,Final Estimate,At Current Prices,Forestry & Logging,GVA,269726.97595112585,Crore Rupees
2019-20,Final Estimate,At Current Prices,Livestock,GVA,977917.6065449977,Crore Rupees
2020-21,Final Estimate,At Current Prices,Crops,GVA,2063990.0421387078,Crore Rupees
2020-21,Final Estimate,At Current Prices,Livestock,GVA,1113089.2539661052,Crore Rupees
2020-21,Final Estimate,At Current Prices,Forestry & Logging,GVA,284445.4193172745,Crore Rupees
2020-21,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,244944.67467576268,Crore Rupees
2021-22,Final Estimate,At Current Prices,Forestry & Logging,GVA,297336.9144157982,Crore Rupees
2021-22,Final Estimate,At Current Prices,Crops,GVA,2280311.8839667505,Crore Rupees
2021-22,Final Estimate,At Current Prices,Fishing & Aquaculture,GVA,283422.4357501515,Crore Rupees
2021-22,Final Estimate,At Current Prices,Livestock,GVA,1238401.3437832305,Crore Rupees
