Commodity,CalendarDay,UOM,MandiWholeSalePrice,TimeFrame,Source
Groundnut,2023-04-21,Rs/Qtl,6176.92,Three years ago as on 2023-04-21,Agmarknet (via API)
Groundnut,2024-04-21,Rs/Qtl,5571.68,Two years ago as on 2024-04-21,Agmarknet (via API)
Groundnut,2025-04-21,Rs/Qtl,5105.65,An year ago as on 2025-04-21,Agmarknet (via API)
Groundnut,2026-03-21,Rs/Qtl,6997.0,A Month ago as on 2026-03-21,Agmarknet (via API)
Groundnut,2026-03-31,Rs/Qtl,5981.92,Three weeks ago as on 2026-03-31,Agmarknet (via API)
Groundnut,2026-04-07,Rs/Qtl,6688.11,Two weeks ago as on 2026-04-07,Agmarknet (via API)
Groundnut,2026-04-14,Rs/Qtl,7175.1,A week ago as on 2026-04-14,Agmarknet (via API)
Groundnut,2026-04-21,Rs/Qtl,6924.11,Price as on 2026-04-21,Agmarknet (via API)
Rapeseed & Mustard,2023-04-21,Rs/Qtl,4974.28,Three years ago as on 2023-04-21,Agmarknet (via API)
Rapeseed & Mustard,2024-04-21,Rs/Qtl,5462.14,Two years ago as on 2024-04-21,Agmarknet (via API)
Rapeseed & Mustard,2025-04-21,Rs/Qtl,5810.2,An year ago as on 2025-04-21,Agmarknet (via API)
Rapeseed & Mustard,2026-03-21,Rs/Qtl,6440.11,A Month ago as on 2026-03-21,Agmarknet (via API)
Rapeseed & Mustard,2026-03-31,Rs/Qtl,6439.51,Three weeks ago as on 2026-03-31,Agmarknet (via API)
Rapeseed & Mustard,2026-04-07,Rs/Qtl,6444.01,Two weeks ago as on 2026-04-07,Agmarknet (via API)
Rapeseed & Mustard,2026-04-14,Rs/Qtl,6315.18,A week ago as on 2026-04-14,Agmarknet (via API)
Rapeseed & Mustard,2026-04-21,Rs/Qtl,6376.99,Price as on 2026-04-21,Agmarknet (via API)
Sesamum,2023-04-21,Rs/Qtl,14012.08,Three years ago as on 2023-04-21,Agmarknet (via API)
Sesamum,2024-04-21,Rs/Qtl,11625.0,Two years ago as on 2024-04-21,Agmarknet (via API)
Sesamum,2025-04-21,Rs/Qtl,8888.02,An year ago as on 2025-04-21,Agmarknet (via API)
Sesamum,2026-03-21,Rs/Qtl,9576.95,A Month ago as on 2026-03-21,Agmarknet (via API)
Sesamum,2026-03-31,Rs/Qtl,10048.11,Three weeks ago as on 2026-03-31,Agmarknet (via API)
Sesamum,2026-04-07,Rs/Qtl,10695.27,Two weeks ago as on 2026-04-07,Agmarknet (via API)
Sesamum,2026-04-14,Rs/Qtl,9520.74,A week ago as on 2026-04-14,Agmarknet (via API)
Sesamum,2026-04-21,Rs/Qtl,10300.48,Price as on 2026-04-21,Agmarknet (via API)
Soybean,2023-04-21,Rs/Qtl,5097.72,Three years ago as on 2023-04-21,Agmarknet (via API)
Soybean,2024-04-21,Rs/Qtl,4411.27,Two years ago as on 2024-04-21,Agmarknet (via API)
Soybean,2025-04-21,Rs/Qtl,4232.25,An year ago as on 2025-04-21,Agmarknet (via API)
Soybean,2026-03-21,Rs/Qtl,5121.43,A Month ago as on 2026-03-21,Agmarknet (via API)
Soybean,2026-03-31,Rs/Qtl,5260.97,Three weeks ago as on 2026-03-31,Agmarknet (via API)
Soybean,2026-04-07,Rs/Qtl,5426.92,Two weeks ago as on 2026-04-07,Agmarknet (via API)
Soybean,2026-04-14,Rs/Qtl,4997.46,A week ago as on 2026-04-14,Agmarknet (via API)
Soybean,2026-04-21,Rs/Qtl,5490.65,Price as on 2026-04-21,Agmarknet (via API)
Sunflower,2023-04-21,Rs/Qtl,4343.92,Three years ago as on 2023-04-21,Agmarknet (via API)
Sunflower,2024-04-21,Rs/Qtl,,Two years ago as on 2024-04-21,Agmarknet (via API)
Sunflower,2025-04-21,Rs/Qtl,4989.19,An year ago as on 2025-04-21,Agmarknet (via API)
Sunflower,2026-03-21,Rs/Qtl,6781.0,A Month ago as on 2026-03-21,Agmarknet (via API)
Sunflower,2026-03-31,Rs/Qtl,6535.15,Three weeks ago as on 2026-03-31,Agmarknet (via API)
Sunflower,2026-04-07,Rs/Qtl,6494.34,Two weeks ago as on 2026-04-07,Agmarknet (via API)
Sunflower,2026-04-14,Rs/Qtl,6622.59,A week ago as on 2026-04-14,Agmarknet (via API)
Sunflower,2026-04-21,Rs/Qtl,,Price as on 2026-04-21,Agmarknet (via API)
