Cycle: 2025-26  •  Scheme: N/A

State,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2025-26,1,1305,14669,1,893,15080,1,1056,14918,25,958,14991,0,1736,14239,14704,1270,1024,14950,15939,35,13173,2800,15380,593,15412,562,15967,7
ANDHRA PRADESH,,2025-26,5575,105092,426813,256671,189012,91835,318190,151225,68147,80239,149027,308164,27528,5011,504904,509271,28212,461407,76052,322293,210658,297910,234116,486348,48759,394954,142418,437696,97367
ARUNACHAL PRADESH,,2025-26,6140,30300,3551,8908,27503,3020,4192,27069,8630,15773,18455,5760,18,19948,20025,38012,1979,34286,5700,35878,4089,37297,2434,38192,1675,26664,8232,33884,5971
ASSAM,,2025-26,122352,140473,3905,166287,70112,30331,26354,117109,123267,149723,50643,66364,1,130408,136321,266685,45,245695,21035,258789,7941,174091,92639,256587,10143,112635,154095,233401,33329
BIHAR,,2025-26,2923,110335,186725,234386,55763,9848,52928,227424,19646,33543,159589,106826,3458,8789,287743,296811,3173,237763,62212,275569,24428,228545,71426,297130,2859,181845,118140,286067,13924
CHHATTISGARH,,2025-26,1567,51989,231808,20663,185531,79168,106571,160786,18005,39439,116165,129709,189,31762,253364,284052,1211,192563,92761,265053,20289,171488,113720,279100,6091,214509,70765,281517,3836
GOA,,2025-26,1681,3088,2804,2584,1748,2598,3044,3427,1100,5430,1069,1075,0,3415,4158,6956,616,3058,3008,7206,345,4679,2825,7079,452,3512,3170,7037,496
GUJARAT,,2025-26,4931,122611,491222,416472,165866,36432,349267,232167,37337,209420,213095,196236,25510,1388,591873,490920,127850,512939,105829,454992,163768,428486,190271,591053,27709,261395,357347,568296,50474
HARYANA,,2025-26,1,134,2069,140264,212716,157622,106257,282841,121810,23009,91613,396094,10023,196,500775,474466,36535,487122,23584,332999,177619,388820,120696,473397,22262,35554,66488,384779,125699
HIMACHAL PRADESH,,2025-26,783,25854,29471,21525,39525,7099,26755,33762,6494,52350,10510,5268,37,579,67544,78007,67,11728,6112,48648,6185,48907,4949,53051,1759,10839,463,40812,14018
