"Crop","Season","Area-2016-17","Area-2017-18","Area-2018-19","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26"
"Rice","Kharif","398.46","393.49","399.64","390.13","403.58","410.38","404.03","407.34","434.66","445.64"
"Rice","Rabi","41.48","44.25","41.92","46.49","54.11","52.40","43.28","40.76","44.73","45.89"
"Rice","Summer","","","","","","","31.01","30.18","33.28",""
"Rice","Total","439.93","437.74","441.56","436.62","457.69","462.79","478.32","478.28","512.67","491.52"
"Wheat","Rabi","307.85","296.51","293.19","313.57","311.25","304.59","314.01","318.33","328.04","334.55"
"Wheat","Total","307.85","296.51","293.19","313.57","311.25","304.59","314.01","318.33","328.04","334.55"
"Maize","Kharif","78.42","74.34","73.31","75.53","77.55","77.85","80.53","83.29","84.61","98.18"
"Maize","Rabi","17.92","19.46","16.97","20.16","21.37","21.73","21.83","21.75","27.80","30.18"
"Maize","Summer","","","","","","","5.08","7.37","8.50",""
"Maize","Total","96.33","93.80","90.27","95.69","98.92","99.58","107.44","112.41","120.91","128.35"
"Barley","Rabi","6.56","6.61","5.76","5.90","5.92","4.53","6.28","5.51","6.08","7.26"
"Barley","Total","6.56","6.61","5.76","5.90","5.92","4.53","6.28","5.51","6.08","7.26"
"Jowar","Kharif","20.59","20.60","17.55","17.55","16.42","14.66","13.82","12.89","14.42","12.14"
"Jowar","Rabi","35.65","29.65","23.39","30.69","27.36","23.34","21.37","27.36","25.17","23.91"
"Jowar","Summer","","","","","","","0.16","0.51","0.36",""
"Jowar","Total","56.24","50.24","40.93","48.24","43.78","38.01","35.35","40.76","39.95","36.06"
"Bajra","Kharif","74.59","74.81","71.05","75.43","76.52","68.41","71.72","69.66","68.38","62.44"
"Bajra","Summer","","","","","","","4.00","4.08","5.20",""
"Bajra","Total","74.59","74.81","71.05","75.43","76.52","68.41","75.72","73.75","73.57","62.44"
"Ragi","Kharif","10.16","11.94","8.91","10.04","11.59","12.18","11.63","12.15","12.48","13.49"
"Ragi","Total","10.16","11.94","8.91","10.04","11.59","12.18","11.63","12.15","12.48","13.49"
"Small Millets","Kharif","6.19","5.46","4.54","4.58","4.44","4.29","4.28","4.80","4.55","4.01"
"Small Millets","Total","6.19","5.46","4.54","4.58","4.44","4.29","4.28","4.80","4.55","4.01"
"Shree Anna /Nutri Cereals","Kharif","111.53","112.81","102.04","107.61","108.98","99.55","101.46","99.50","99.83","92.08"
"Shree Anna /Nutri Cereals","Rabi","35.65","29.65","23.39","30.69","27.36","23.34","21.37","27.36","25.17","23.91"
"Shree Anna /Nutri Cereals","Summer","","","","","","","4.16","4.59","5.56",""
"Shree Anna /Nutri Cereals","Total","147.18","142.46","125.43","138.29","136.33","122.89","126.98","131.45","130.56","116.00"
"Nutri/Coarse Cereals","Kharif","189.95","187.15","175.35","183.14","186.53","177.39","181.99","182.79","184.44","190.26"
"Nutri/Coarse Cereals","Rabi","60.13","55.72","46.11","56.74","54.65","49.61","49.48","54.63","59.05","61.35"
"Nutri/Coarse Cereals","Summer","","","","","","","9.24","11.96","14.05",""
"Nutri/Coarse Cereals","Total","250.08","242.86","221.46","239.88","241.18","227.00","240.70","249.38","257.55","251.61"
"Cereals","Kharif","588.41","580.64","574.99","573.27","590.11","587.77","586.01","590.13","619.10","635.89"
"Cereals","Rabi","409.46","396.47","381.22","416.81","420.00","406.60","406.77","413.72","431.83","441.79"
"Cereals","Summer","","","","","","","40.24","42.13","47.33",""
"Cereals","Total","997.86","977.11","956.21","990.07","1010.12","994.37","1033.03","1045.99","1098.26","1077.69"
"Tur","Kharif","53.38","44.38","45.50","45.32","47.24","49.00","40.68","41.31","43.36","44.33"
"Tur","Total","53.38","44.38","45.50","45.32","47.24","49.00","40.68","41.31","43.36","44.33"
