Commodity,CalendarDay,UOM,MandiWholeSalePrice,TimeFrame,Source
Gram,2023-04-21,Rs/Qtl,4825.92,Three years ago as on 2023-04-21,Agmarknet
Gram,2024-04-21,Rs/Qtl,5909.34,Two years ago as on 2024-04-21,Agmarknet
Gram,2025-04-21,Rs/Qtl,5605.7,An year ago as on 2025-04-21,Agmarknet
Gram,2026-03-21,Rs/Qtl,5042.55,A Month ago as on 2026-03-21,Agmarknet
Gram,2026-03-31,Rs/Qtl,5438.21,Three weeks ago as on 2026-03-31,Agmarknet
Gram,2026-04-07,Rs/Qtl,5264.23,Two weeks ago as on 2026-04-07,Agmarknet
Gram,2026-04-14,Rs/Qtl,5739.65,A week ago as on 2026-04-14,Agmarknet
Gram,2026-04-21,Rs/Qtl,5332.01,Price as on 2026-04-21,Agmarknet
Lentil,2023-04-21,Rs/Qtl,5600.69,Three years ago as on 2023-04-21,Agmarknet
Lentil,2024-04-21,Rs/Qtl,6321.41,Two years ago as on 2024-04-21,Agmarknet
Lentil,2025-04-21,Rs/Qtl,6336.3,An year ago as on 2025-04-21,Agmarknet
Lentil,2026-03-21,Rs/Qtl,6778.37,A Month ago as on 2026-03-21,Agmarknet
Lentil,2026-03-31,Rs/Qtl,6771.2,Three weeks ago as on 2026-03-31,Agmarknet
Lentil,2026-04-07,Rs/Qtl,6893.85,Two weeks ago as on 2026-04-07,Agmarknet
Lentil,2026-04-14,Rs/Qtl,8616.28,A week ago as on 2026-04-14,Agmarknet
Lentil,2026-04-21,Rs/Qtl,7054.78,Price as on 2026-04-21,Agmarknet
Moong,2023-04-21,Rs/Qtl,7331.55,Three years ago as on 2023-04-21,Agmarknet
Moong,2024-04-21,Rs/Qtl,10013.38,Two years ago as on 2024-04-21,Agmarknet
Moong,2025-04-21,Rs/Qtl,7725.44,An year ago as on 2025-04-21,Agmarknet
Moong,2026-03-21,Rs/Qtl,7999.1,A Month ago as on 2026-03-21,Agmarknet
Moong,2026-03-31,Rs/Qtl,7335.12,Three weeks ago as on 2026-03-31,Agmarknet
Moong,2026-04-07,Rs/Qtl,7486.96,Two weeks ago as on 2026-04-07,Agmarknet
Moong,2026-04-14,Rs/Qtl,7940.81,A week ago as on 2026-04-14,Agmarknet
Moong,2026-04-21,Rs/Qtl,7672.5,Price as on 2026-04-21,Agmarknet
Tur,2023-04-21,Rs/Qtl,7827.3,Three years ago as on 2023-04-21,Agmarknet
Tur,2024-04-21,Rs/Qtl,11549.58,Two years ago as on 2024-04-21,Agmarknet
Tur,2025-04-21,Rs/Qtl,7235.41,An year ago as on 2025-04-21,Agmarknet
Tur,2026-03-21,Rs/Qtl,7608.94,A Month ago as on 2026-03-21,Agmarknet
Tur,2026-03-31,Rs/Qtl,7487.35,Three weeks ago as on 2026-03-31,Agmarknet
Tur,2026-04-07,Rs/Qtl,7532.58,Two weeks ago as on 2026-04-07,Agmarknet
Tur,2026-04-14,Rs/Qtl,7433.91,A week ago as on 2026-04-14,Agmarknet
Tur,2026-04-21,Rs/Qtl,7820.75,Price as on 2026-04-21,Agmarknet
Urad,2023-04-21,Rs/Qtl,6483.42,Three years ago as on 2023-04-21,Agmarknet
Urad,2024-04-21,Rs/Qtl,7536.29,Two years ago as on 2024-04-21,Agmarknet
Urad,2025-04-21,Rs/Qtl,7501.71,An year ago as on 2025-04-21,Agmarknet
Urad,2026-03-21,Rs/Qtl,8132.02,A Month ago as on 2026-03-21,Agmarknet
Urad,2026-03-31,Rs/Qtl,8280.0,Three weeks ago as on 2026-03-31,Agmarknet
Urad,2026-04-07,Rs/Qtl,7834.45,Two weeks ago as on 2026-04-07,Agmarknet
Urad,2026-04-14,Rs/Qtl,7027.78,A week ago as on 2026-04-14,Agmarknet
Urad,2026-04-21,Rs/Qtl,8058.58,Price as on 2026-04-21,Agmarknet
