N,P,K,pH,Moisture,Rainfall,Humidity,Temperature,Label,Season,Soil_Type,Location,Sowing_Time,Fertilizer,Compost,Pest_Control
90,42,43,6.502985292000001,81,202.9355362,82.00274423,20.87974371,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
85,58,41,7.038096361,91,226.6555374,80.31964408,21.77046169,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
60,55,44,7.840207144,106,263.9642476,82.3207629,23.00445915,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
74,35,40,6.980400905,97,242.8640342,80.15836264,26.49109635,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
78,42,42,7.628472891,105,262.7173405,81.60487287,20.13017482,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
69,37,42,7.073453503,100,251.0549998,83.37011772,23.05804872,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
69,55,38,5.70080568,109,271.3248604,82.63941394,22.70883798,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
94,53,40,5.718627177999999,97,241.9741949,82.89408619,20.27774362,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
89,54,38,6.685346424,92,230.4462359,83.53521629999999,24.51588066,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
68,58,38,6.336253525,88,221.2091958,83.03322691,23.22397386,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
91,53,40,5.386167788,106,264.6148697,81.41753846,26.52723513,rice,Kharif/Rabi,Clayey/Alluvial,Tropical/Wetlands,Jun-Jul,Urea, DAP,Farmyard Manure,Stem Borer
